url,title,nodes_number
https://www.youtube.com/watch?v=hfrNLA-cHqo,Валерий Бабушкин: от карьеры в химометрике до директора по анализу данных | Подкаст | karpov.courses,20
https://www.youtube.com/watch?v=-GDUvH924V8,10 вопросов про A/B-тесты | Часть 2 | Валерий Бабушкин | karpov.courses,16
https://www.youtube.com/watch?v=CTrDndT6eW8,Алина Карась — Хороший аналитик всегда немного менеджер | Подкаст | karpov.courses,17
https://www.youtube.com/watch?v=wMJviKbzM5o,Как использовать метод apply для трансформации колонок? | Аналитик данных | karpov.courses,11
https://www.youtube.com/watch?v=kFpj3ActhII,"Настя Маркианова — что сделать с ИИ, чтобы признать, что у него есть разум? |Подкаст| karpov.courses",17
https://www.youtube.com/watch?v=e3s85Zcv0K0,Иван Волков — о самообучении в IT и работе тимлидом | Подкаст | karpov.courses,16
https://www.youtube.com/watch?v=mome3DWQqg0,"Алексей Никушин: аналитика, маркетинг, МатеМаркетинг | Интервью | karpov.courses",19
https://www.youtube.com/watch?v=v3T8p_75vd4,Визуализация как метод исследования данных | Аналитик данных | karpov.courses,18
https://www.youtube.com/watch?v=39iwf3N1juo,Data Engineer 2022 | Дорожная карта | Александр Савченко | karpov.courses,15
https://www.youtube.com/watch?v=GQP5fe5fXbs,Какие переменные есть в Python? | Аналитик данных | karpov.courses,14
https://www.youtube.com/watch?v=BrrvxphwDcw,Как сделать предподготовку данных? Реальные примеры | Аналитик данных | karpov.courses,6
https://www.youtube.com/watch?v=rJZVxWREJuU,Саша Дончук — от электромобилей к компьютерному зрению для поездов | Подкаст | karpov.courses,18
https://www.youtube.com/watch?v=McXzllkKWjk,Работа с Join в Pandas | Анатолий Карпов | karpov.courses,18
https://www.youtube.com/watch?v=Xy3RWYKRVb4,JOIN | Симулятор SQL | karpov.courses,15
https://www.youtube.com/watch?v=qMqjrhNi6hU,Заключение | Симулятор SQL | karpov.courses,2
https://www.youtube.com/watch?v=WKYPQtqE-m0,ML System Design с Валерием Бабушкиным | Выпуск 2 | Собеседование | karpov.courses,18
https://www.youtube.com/watch?v=Glu_-XffZB0,Математика для машинного обучения,3
